0,53.572181701660156,0.0007557964418083429,-0.008122348226606846,53.572181701660156
0,0.5109989047050476,-0.03801571950316429,-0.07609626650810242,-0.5038690567016602
0,0.5109989047050476,0.16435128450393677,0.011638261377811432,-0.48370763659477234
1,0.7839140295982361,0.1738322377204895,0.03512148559093475,-0.7635902166366577
1,0.29061272740364075,0.07745620608329773,-0.0017685560742393136,-0.2800949215888977
1,0.8154222369194031,0.15394215285778046,0.3886618912220001,-0.7001122832298279
1,1106.47314453125,0.035281382501125336,-0.14457523822784424,1106.47314453125
1,0.5109989047050476,-0.17236290872097015,-0.09690132737159729,-0.4711911082267761
1,0.4647570848464966,-0.1556929349899292,-0.06969621777534485,-0.43232080340385437
1,0.791978657245636,-0.2157781720161438,-0.05880828946828842,-0.75974440574646
2,3.1223909854888916,-1.5833632946014404,-0.041540730744600296,-2.690829038619995
2,3.2472116947174072,0.2831806540489197,0.6483299136161804,-3.1692051887512207
2,4.485324859619141,-0.642460286617279,0.4407215118408203,-4.417142391204834
2,0.5109989047050476,-0.13214439153671265,-0.16937628388404846,-0.4636479616165161
2,1.8493930101394653,-0.6392624974250793,0.5076102614402771,-1.6594969034194946
2,2.2166082859039307,-0.33742958307266235,-0.756950318813324,-2.0558502674102783
3,0.47129741311073303,0.10152474045753479,-0.15299779176712036,-0.43405720591545105
3,1.7385541200637817,0.7152501940727234,-0.0761033296585083,-1.5827810764312744
3,2.5456433296203613,1.396480917930603,-0.01231626607477665,-2.1283771991729736
3,0.8100090622901917,0.2555457055568695,0.043517205864191055,-0.7674095034599304
3,5.253471851348877,-0.12672634422779083,0.3544592261314392,-5.2399678230285645
3,0.3615952134132385,0.074246846139431,0.09501907229423523,-0.34089571237564087
3,0.666071355342865,-0.0333489365875721,0.05307033285498619,-0.6631157398223877
3,0.865997850894928,-0.3267168402671814,-0.11860400438308716,-0.7931843400001526
4,0.4849490225315094,0.14353349804878235,0.06249973177909851,-0.45898523926734924
4,2068.6953125,-0.5853337645530701,-0.049517855048179626,2068.6953125
4,2.9579319953918457,1.3522515296936035,-0.7236722707748413,-2.5292441844940186
4,0.11272132396697998,-0.017581691965460777,-0.06310539692640305,-0.09173161536455154
4,0.3041669726371765,-0.031943872570991516,0.12408549338579178,-0.2758621573448181
4,1.8122278451919556,-0.21610769629478455,-0.5829614996910095,-1.7022405862808228
4,0.11968490481376648,0.03719066083431244,0.03227464109659195,-0.10908564180135727
4,0.7427878379821777,0.09068535268306732,0.22714391350746155,-0.7013669013977051
5,3.0420963764190674,-0.6123853325843811,0.13755486905574799,-2.976644515991211
5,37.1261100769043,0.004541161470115185,0.006305456627160311,37.1261100769043
5,4.411105632781982,-0.00018488874775357544,0.0009818876860663295,4.411105632781982
5,0.9778800010681152,0.36016976833343506,-0.06553079932928085,-0.9067705273628235
5,4.892299175262451,0.7870219349861145,0.33297207951545715,-4.8170857429504395
5,2.185208797454834,0.8326459527015686,0.7986229658126831,-1.855812430381775
6,1.244141697883606,-0.27832576632499695,0.11175835877656937,-1.2074490785598755
6,0.25852900743484497,-0.006887138821184635,-0.18716736137866974,0.17820827662944794
6,523.43115234375,-0.0016637442167848349,-0.03410956263542175,523.43115234375
6,7.405948638916016,3.851454496383667,-1.680680274963379,-6.098335266113281
6,0.28167277574539185,-0.03691297769546509,-0.09187103062868118,-0.26369810104370117
7,1.346164345741272,-0.47859668731689453,-0.18814286589622498,-1.2440682649612427
7,0.7716982364654541,-0.2833525538444519,0.09443030506372452,-0.7115563750267029
7,2.7131357192993164,1.3661000728607178,0.7771047353744507,-2.211557149887085
7,0.38895514607429504,0.16508962213993073,-0.18195824325084686,-0.301533967256546
8,1.4496055841445923,-0.1715494841337204,0.02748401276767254,-1.4391566514968872
8,0.9239349365234375,-0.15969514846801758,0.20698468387126923,-0.8861775398254395
8,0.21233367919921875,-0.04829715937376022,-0.14767949283123016,0.14471954107284546
9,0.11190113425254822,-0.0704725906252861,-0.03915989026427269,-0.07760141789913177
9,0.4712471067905426,-0.07021553069353104,0.09960172325372696,-0.4552176594734192
